Modelo,Precision,
SP_RKHS_M,0.65028,15
SP_RKHS_M,0.60856,16
SP_RKHS_M,0.6877,17
SP_RKHS_M,0.71425,18
SP_RKHS_M,0.65498,19
SP_RKHS_M,0.74346,20
SP_RKHS_M,0.72278,21
SP_RKHS_M,0.75237,22
SP_RKHS_M,0.69077,23
SP_RKHS_M,0.69159,24
SP_RKHS_M,0.65744,25
SP_RKHS_M,0.67173,26
SP_RKHS_M,0.61903,27
SP_RKHS_M,0.6543,28
SP_RKHS_M,0.66851,29
SP_RKHS_M,0.63143,30
SP_RKHS_M,0.67299,31
SP_RKHS_M,0.71564,32
SP_RKHS_M,0.72686,33
SP_RKHS_M,0.67089,34
SP_RKHS_M,0.70025,35
SP_RKHS_M,0.64083,36
SP_RKHS_M,0.64635,37
SP_RKHS_M,0.71214,38
SP_RKHS_M,0.66285,39
SP_RKHS_M,0.65565,40
SP_RKHS_M,0.61231,41
SP_RKHS_M,0.69181,42
SP_RKHS_M,0.69228,43
SP_RKHS_M,0.64281,44
SP_RKHS_M,0.73621,45
SP_RKHS_M,0.72845,46
SP_RKHS_M,0.73856,47
SP_RKHS_M,0.68948,48
SP_RKHS_M,0.67637,49
SP_RKHS_M,0.64858,50
MT_BRR_M,0.62098,1
MT_BRR_M,0.68365,2
MT_BRR_M,0.68983,3
MT_BRR_M,0.61155,4
MT_BRR_M,0.65827,5
MT_BRR_M,0.70969,6
MT_BRR_M,0.64426,7
MT_BRR_M,0.61414,8
MT_BRR_M,0.77039,9
MT_BRR_M,0.68883,10
MT_BRR_M,0.64311,11
MT_BRR_M,0.64572,12
MT_BRR_M,0.71309,13
MT_BRR_M,0.73927,14
MT_BRR_M,0.54728,15
MT_BRR_M,0.6178,16
MT_BRR_M,0.73464,17
MT_BRR_M,0.63323,18
MT_BRR_M,0.65522,19
MT_BRR_M,0.5934,20
MT_BRR_M,0.66517,21
MT_BRR_M,0.58711,22
MT_BRR_M,0.68095,23
MT_BRR_M,0.66071,24
MT_BRR_M,0.68157,25
MT_BRR_M,0.68633,26
MT_BRR_M,0.65927,27
MT_BRR_M,0.59663,28
MT_BRR_M,0.57837,29
MT_BRR_M,0.63823,30
MT_BRR_M,0.65853,31
MT_BRR_M,0.58664,32
MT_BRR_M,0.62951,33
MT_BRR_M,0.53598,34
MT_BRR_M,0.71899,35
MT_BRR_M,0.72085,36
MT_BRR_M,0.57166,37
MT_BRR_M,0.65049,38
MT_BRR_M,0.63179,39
MT_BRR_M,0.69574,40
MT_BRR_M,0.6984,41
MT_BRR_M,0.65986,42
MT_BRR_M,0.69466,43
MT_BRR_M,0.57877,44
MT_BRR_M,0.62451,45
MT_BRR_M,0.70486,46
MT_BRR_M,0.68,47
MT_BRR_M,0.71192,48
MT_BRR_M,0.65854,49
MT_BRR_M,0.70013,50
MT_RKHS_P,0.45079,1
MT_RKHS_P,0.3066,2
MT_RKHS_P,0.37658,3
MT_RKHS_P,0.35156,4
MT_RKHS_P,0.43664,5
MT_RKHS_P,0.38164,6
MT_RKHS_P,0.39885,7
MT_RKHS_P,0.24425,8
MT_RKHS_P,0.45543,9
MT_RKHS_P,0.44996,10
MT_RKHS_P,0.30624,11
MT_RKHS_P,0.43947,12
MT_RKHS_P,0.38012,13
MT_RKHS_P,0.38838,14
MT_RKHS_P,0.44352,15
MT_RKHS_P,0.39358,16
MT_RKHS_P,0.41584,17
MT_RKHS_P,0.29207,18
MT_RKHS_P,0.47257,19
MT_RKHS_P,0.3269,20
MT_RKHS_P,0.3559,21
MT_RKHS_P,0.29105,22
MT_RKHS_P,0.34844,23
MT_RKHS_P,0.43945,24
MT_RKHS_P,0.43354,25
MT_RKHS_P,0.50109,26
MT_RKHS_P,0.47686,27
MT_RKHS_P,0.52411,28
MT_RKHS_P,0.35783,29
MT_RKHS_P,0.29026,30
MT_RKHS_P,0.43565,31
MT_RKHS_P,0.36152,32
MT_RKHS_P,0.27838,33
MT_RKHS_P,0.29206,34
MT_RKHS_P,0.41792,35
MT_RKHS_P,0.47035,36
MT_RKHS_P,0.34115,37
MT_RKHS_P,0.40055,38
MT_RKHS_P,0.34464,39
MT_RKHS_P,0.50247,40
MT_RKHS_P,0.43447,41
MT_RKHS_P,0.50931,42
MT_RKHS_P,0.43048,43
MT_RKHS_P,0.46923,44
MT_RKHS_P,0.35605,45
MT_RKHS_P,0.40468,46
MT_RKHS_P,0.47869,47
MT_RKHS_P,0.40436,48
MT_RKHS_P,0.48895,49
MT_RKHS_P,0.38826,50
MT_RKHS_MP,0.63871,1
MT_RKHS_MP,0.66266,2
MT_RKHS_MP,0.68401,3
MT_RKHS_MP,0.64171,4
MT_RKHS_MP,0.66273,5
MT_RKHS_MP,0.70235,6
MT_RKHS_MP,0.64282,7
MT_RKHS_MP,0.61679,8
MT_RKHS_MP,0.7663,9
MT_RKHS_MP,0.70491,10
MT_RKHS_MP,0.64875,11
MT_RKHS_MP,0.64719,12
MT_RKHS_MP,0.7179,13
MT_RKHS_MP,0.74946,14
MT_RKHS_MP,0.57256,15
MT_RKHS_MP,0.62991,16
MT_RKHS_MP,0.74181,17
MT_RKHS_MP,0.60911,18
MT_RKHS_MP,0.67769,19
MT_RKHS_MP,0.60052,20
MT_RKHS_MP,0.68256,21
MT_RKHS_MP,0.58903,22
MT_RKHS_MP,0.69197,23
MT_RKHS_MP,0.68548,24
MT_RKHS_MP,0.68036,25
MT_RKHS_MP,0.69685,26
MT_RKHS_MP,0.66797,27
MT_RKHS_MP,0.60977,28
MT_RKHS_MP,0.57358,29
MT_RKHS_MP,0.63725,30
MT_RKHS_MP,0.65871,31
MT_RKHS_MP,0.59461,32
MT_RKHS_MP,0.63684,33
MT_RKHS_MP,0.53717,34
